"subNum","objNum","kitchen","expectancy","recollection","familiar","guess","noMemory"
35,"saucepan","kitchen",89.90228,"recollected","not familiar","not guessed",0
35,"toaster","kitchen",-99.511401,"recollected","not familiar","not guessed",0
35,"bowl of fruits","kitchen",-12.703583,"recollected","not familiar","not guessed",0
35,"tea pot","kitchen",-43.973941,"recollected","not familiar","not guessed",0
35,"knife","kitchen",-67.589577,"not recollected","familiar","not guessed",0
35,"mixer","kitchen",-13.843648,"recollected","not familiar","not guessed",0
35,"bread","kitchen",-35.993485,"not recollected","familiar","not guessed",0
35,"glass jug","kitchen",18.729642,"not recollected","familiar","not guessed",0
35,"mug","kitchen",92.833876,"recollected","not familiar","not guessed",0
35,"dishes","kitchen",-85.34202,"recollected","not familiar","not guessed",0
35,"towels","non-kitchen",100,"recollected","not familiar","not guessed",0
35,"toy","non-kitchen",65.798046,"recollected","not familiar","not guessed",0
35,"pile of books","non-kitchen",-91.205212,"recollected","not familiar","not guessed",0
35,"umbrella","non-kitchen",-56.840391,"recollected","not familiar","not guessed",0
35,"hat","non-kitchen",-64.006515,"not recollected","familiar","not guessed",0
35,"helmet","non-kitchen",-100,"recollected","not familiar","not guessed",0
35,"calendar","non-kitchen",96.579805,"recollected","not familiar","not guessed",0
35,"fan","non-kitchen",-64.65798,"not recollected","not familiar","not guessed",1
36,"microwave","kitchen",52.442997,"not recollected","not familiar","guessed",0
36,"kitchen roll","kitchen",40.716612,"not recollected","familiar","not guessed",0
36,"saucepan","kitchen",88.436482,"not recollected","not familiar","guessed",0
36,"toaster","kitchen",-100,"recollected","not familiar","not guessed",0
36,"bowl of fruits","kitchen",-34.527687,"not recollected","familiar","not guessed",0
36,"tea pot","kitchen",76.872964,"not recollected","not familiar","guessed",0
36,"knife","kitchen",-100,"recollected","not familiar","not guessed",0
36,"mixer","kitchen",23.778502,"not recollected","not familiar","not guessed",1
36,"bread","kitchen",-49.185668,"recollected","not familiar","not guessed",0
36,"glass jug","kitchen",10.260586,"not recollected","not familiar","not guessed",1
36,"mug","kitchen",100,"not recollected","familiar","not guessed",0
36,"dishes","kitchen",-100,"recollected","not familiar","not guessed",0
36,"towels","non-kitchen",-7.980456,"not recollected","familiar","not guessed",0
36,"toy","non-kitchen",81.433225,"recollected","not familiar","not guessed",0
36,"pile of books","non-kitchen",-44.625407,"not recollected","not familiar","guessed",0
36,"umbrella","non-kitchen",-100,"not recollected","not familiar","not guessed",1
36,"hat","non-kitchen",-4.234528,"recollected","not familiar","not guessed",0
36,"helmet","non-kitchen",-100,"not recollected","not familiar","not guessed",1
36,"calendar","non-kitchen",-5.537459,"not recollected","not familiar","guessed",0
36,"fan","non-kitchen",-3.257329,"recollected","not familiar","not guessed",0
37,"microwave","kitchen",-100,"recollected","not familiar","not guessed",0
37,"kitchen roll","kitchen",100,"not recollected","familiar","not guessed",0
37,"saucepan","kitchen",8.306189,"not recollected","not familiar","guessed",0
37,"toaster","kitchen",100,"not recollected","familiar","not guessed",0
37,"bowl of fruits","kitchen",51.302932,"not recollected","familiar","not guessed",0
37,"tea pot","kitchen",49.185668,"not recollected","familiar","not guessed",0
37,"knife","kitchen",-100,"not recollected","not familiar","not guessed",1
37,"mixer","kitchen",100,"not recollected","not familiar","guessed",0
37,"bread","kitchen",47.71987,"not recollected","familiar","not guessed",0
37,"glass jug","kitchen",-57.32899,"not recollected","not familiar","not guessed",1
37,"mug","kitchen",100,"not recollected","not familiar","guessed",0
37,"dishes","kitchen",100,"recollected","not familiar","not guessed",0
37,"towels","non-kitchen",-100,"not recollected","not familiar","not guessed",1
37,"toy","non-kitchen",-100,"recollected","not familiar","not guessed",0
37,"pile of books","non-kitchen",0,"not recollected","not familiar","not guessed",1
37,"umbrella","non-kitchen",0.162866,"not recollected","not familiar","not guessed",1
37,"hat","non-kitchen",100,"recollected","not familiar","not guessed",0
37,"helmet","non-kitchen",0.162866,"recollected","not familiar","not guessed",0
37,"calendar","non-kitchen",95.928339,"not recollected","familiar","not guessed",0
37,"fan","non-kitchen",0,"not recollected","familiar","not guessed",0
38,"microwave","kitchen",97.23127,"recollected","not familiar","not guessed",0
38,"kitchen roll","kitchen",21.009772,"recollected","not familiar","not guessed",0
38,"saucepan","kitchen",56.514658,"not recollected","not familiar","guessed",0
38,"toaster","kitchen",-96.416938,"recollected","not familiar","not guessed",0
38,"bowl of fruits","kitchen",18.566775,"not recollected","not familiar","guessed",0
38,"tea pot","kitchen",-62.540717,"recollected","not familiar","not guessed",0
38,"knife","kitchen",-39.087948,"not recollected","familiar","not guessed",0
38,"mixer","kitchen",-84.85342,"recollected","not familiar","not guessed",0
38,"bread","kitchen",-80.618893,"recollected","not familiar","not guessed",0
38,"glass jug","kitchen",-84.039088,"not recollected","familiar","not guessed",0
38,"mug","kitchen",71.335505,"not recollected","familiar","not guessed",0
38,"dishes","kitchen",-90.879479,"not recollected","familiar","not guessed",0
38,"towels","non-kitchen",-60.749186,"not recollected","familiar","not guessed",0
38,"toy","non-kitchen",-6.188925,"recollected","not familiar","not guessed",0
38,"pile of books","non-kitchen",30.618893,"not recollected","familiar","not guessed",0
38,"umbrella","non-kitchen",-53.094463,"not recollected","not familiar","guessed",0
38,"hat","non-kitchen",-86.319218,"recollected","not familiar","not guessed",0
38,"helmet","non-kitchen",-49.837134,"not recollected","familiar","not guessed",0
38,"calendar","non-kitchen",30.944625,"not recollected","familiar","not guessed",0
38,"fan","non-kitchen",-84.039088,"recollected","not familiar","not guessed",0
27,"microwave","kitchen",87.13355,"not recollected","familiar","not guessed",0
27,"kitchen roll","kitchen",100,"recollected","not familiar","not guessed",0
27,"saucepan","kitchen",-44.95114,"not recollected","familiar","not guessed",0
27,"toaster","kitchen",100,"recollected","not familiar","not guessed",0
27,"bowl of fruits","kitchen",49.185668,"not recollected","not familiar","guessed",0
27,"tea pot","kitchen",57.81759,"not recollected","familiar","not guessed",0
